loan_amnt,term,int_rate,installment,annual_inc,verification_status,issue_d,addr_state,dti,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,revol_bal,revol_util,total_acc,delinq_amnt,pub_rec_bankruptcies,target,has_public_record,has_delinquency,pub_rec_bankruptcies_missing,revol_util_missing,emp_length_missing,credit_history_months,dti_bin,loan_to_income,installment_to_income,revol_bal_to_income,open_acc_ratio,fico_avg,grade_ordinal,emp_length_years,home_ownership_grouped,is_income_verified,purpose_grouped
5000.0,36,10.65,162.87,24000.0,Verified,2011-12-01,AZ,27.65,1985-01-01,1.0,,,3.0,13648.0,0.837,9.0,0.0,0.0,0,0.0,0.0,0,0,0,322.9,high_20_30,0.20833333333333334,0.08143500000000001,0.5686666666666667,0.3333333333333333,737.0,2,10.0,RENT,1,credit_card
2500.0,60,15.27,59.83,30000.0,Source Verified,2011-12-01,GA,1.0,1999-04-01,5.0,,,3.0,1687.0,0.094,4.0,0.0,0.0,1,0.0,0.0,0,0,0,152.0,low_0_10,0.08333333333333333,0.023932000000000002,0.05623333333333334,0.75,742.0,3,0.0,RENT,1,car
2400.0,36,15.96,84.33,12252.0,Not Verified,2011-12-01,IL,8.72,2001-11-01,2.0,,,2.0,2956.0,0.985,10.0,0.0,0.0,0,0.0,0.0,0,0,0,121.0,low_0_10,0.1958863858961802,0.08259549461312439,0.24126673196212864,0.2,737.0,3,10.0,RENT,0,small_business
10000.0,36,13.49,339.31,49200.0,Source Verified,2011-12-01,CA,20.0,1996-02-01,1.0,35.0,,10.0,5598.0,0.21,37.0,0.0,0.0,0,0.0,0.0,0,0,0,189.9,moderate_10_20,0.2032520325203252,0.08275853658536586,0.11378048780487805,0.2702702702702703,692.0,3,10.0,RENT,1,other
5000.0,36,7.9,156.46,36000.0,Source Verified,2011-12-01,AZ,11.2,2004-11-01,3.0,,,9.0,7963.0,0.283,12.0,0.0,0.0,0,0.0,0.0,0,0,0,85.0,moderate_10_20,0.1388888888888889,0.052153333333333336,0.22119444444444444,0.75,732.0,1,3.0,RENT,1,wedding
7000.0,60,15.96,170.08,47004.0,Not Verified,2011-12-01,NC,23.51,2005-07-01,1.0,,,7.0,17726.0,0.856,11.0,0.0,0.0,0,0.0,0.0,0,0,0,77.0,high_20_30,0.14892349587269169,0.04342098544804698,0.3771168411199047,0.6363636363636364,692.0,3,8.0,RENT,0,debt_consolidation
3000.0,36,18.64,109.43,48000.0,Source Verified,2011-12-01,CA,5.35,2007-01-01,2.0,,,4.0,8221.0,0.875,4.0,0.0,0.0,0,0.0,0.0,0,0,0,59.0,low_0_10,0.0625,0.027357500000000003,0.17127083333333334,1.0,662.0,5,9.0,RENT,1,car
5600.0,60,21.28,152.39,40000.0,Source Verified,2011-12-01,CA,5.55,2004-04-01,2.0,,,11.0,5210.0,0.326,13.0,0.0,0.0,1,0.0,0.0,0,0,0,92.0,low_0_10,0.14,0.045716999999999994,0.13025,0.8461538461538461,677.0,6,4.0,OWN,1,small_business
5375.0,60,12.69,121.45,15000.0,Verified,2011-12-01,TX,18.08,2004-09-01,0.0,,,2.0,9279.0,0.365,3.0,0.0,0.0,1,0.0,0.0,0,0,0,87.0,moderate_10_20,0.35833333333333334,0.09716000000000001,0.6186,0.6666666666666666,727.0,2,0.0,RENT,1,other
6500.0,60,14.65,153.45,72000.0,Not Verified,2011-12-01,AZ,16.12,1998-01-01,2.0,,,14.0,4032.0,0.206,23.0,0.0,0.0,0,0.0,0.0,0,0,0,167.0,moderate_10_20,0.09027777777777778,0.025574999999999997,0.056,0.6086956521739131,697.0,3,5.0,OWN,0,debt_consolidation
12000.0,36,12.69,402.54,75000.0,Source Verified,2011-12-01,CA,10.78,1989-10-01,0.0,,,12.0,23336.0,0.671,34.0,0.0,0.0,0,0.0,0.0,0,0,0,266.0,moderate_10_20,0.16,0.0644064,0.3111466666666667,0.35294117647058826,677.0,2,10.0,OWN,1,debt_consolidation
9000.0,36,13.49,305.38,30000.0,Source Verified,2011-12-01,VA,10.08,2004-04-01,1.0,,,4.0,10452.0,0.917,9.0,0.0,0.0,1,0.0,0.0,0,0,0,92.0,moderate_10_20,0.3,0.122152,0.3484,0.4444444444444444,712.0,3,0.0,RENT,1,debt_consolidation
3000.0,36,9.91,96.68,15000.0,Source Verified,2011-12-01,IL,12.56,2003-07-01,2.0,,,11.0,7323.0,0.431,11.0,0.0,0.0,0,0.0,0.0,0,0,0,101.0,moderate_10_20,0.2,0.07734400000000001,0.4882,1.0,707.0,2,3.0,RENT,1,credit_card
10000.0,36,10.65,325.74,100000.0,Source Verified,2011-12-01,CA,7.06,1991-05-01,2.0,,,14.0,11997.0,0.555,29.0,0.0,0.0,1,0.0,0.0,0,0,0,247.0,low_0_10,0.1,0.0390888,0.11997,0.4827586206896552,722.0,2,3.0,RENT,1,other
1000.0,36,16.29,35.31,28000.0,Not Verified,2011-12-01,MO,20.31,2007-09-01,1.0,,,11.0,6524.0,0.815,23.0,0.0,0.0,0,0.0,0.0,0,0,0,51.0,high_20_30,0.03571428571428571,0.015132857142857144,0.233,0.4782608695652174,667.0,4,0.0,RENT,0,debt_consolidation
10000.0,36,15.27,347.98,42000.0,Not Verified,2011-12-01,CA,18.6,1998-10-01,2.0,61.0,,14.0,24043.0,0.702,28.0,0.0,0.0,0,0.0,0.0,0,0,0,158.0,moderate_10_20,0.23809523809523808,0.09942285714285715,0.5724523809523809,0.5,672.0,3,4.0,RENT,0,home_improvement
3600.0,36,6.03,109.57,110000.0,Not Verified,2011-12-01,CT,10.52,1993-08-01,0.0,,,20.0,22836.0,0.16,42.0,0.0,0.0,0,0.0,0.0,0,0,0,220.0,moderate_10_20,0.03272727272727273,0.011953090909090908,0.2076,0.47619047619047616,762.0,1,10.0,MORTGAGE,0,major_purchase
6000.0,36,11.71,198.46,84000.0,Verified,2011-12-01,UT,18.44,2003-10-01,0.0,8.0,,4.0,0.0,0.3773,14.0,0.0,0.0,0,0.0,1.0,0,0,0,98.0,moderate_10_20,0.07142857142857142,0.028351428571428573,0.0,0.2857142857142857,687.0,2,1.0,MORTGAGE,1,medical
9200.0,36,6.03,280.01,77385.19,Not Verified,2011-12-01,CA,9.86,2001-01-01,0.0,,,8.0,7314.0,0.231,28.0,0.0,0.0,0,0.0,0.0,0,0,0,130.9,low_0_10,0.11888579714025384,0.04342071137901193,0.0945142087265018,0.2857142857142857,757.0,1,6.0,RENT,0,debt_consolidation
